cellID,cx,cy,p1,p2,p3,nbr12,nbr23,nbr31,n12x,n12y,n23x,n23y,n31x,n31y
1192,0.163808282452492,-0.255079138182552,896,659,524,1562,1126,347,0.516948179897663,-0.85601669335387,0.473816542806258,0.880623576656408,-0.979868012655409,-0.19964638182231
1193,0.13492625358072,-0.356975162303277,955,835,836,1563,1114,1571,-0.896936274503219,0.442159834765989,-0.0055065518825247,-0.999984838828252,0.880034119316842,0.474910464022674
1194,-0.413869779368661,0.380457289427788,1087,563,564,1214,33,784,0.485998875369169,0.873959434493331,-0.999963834185937,0.0085047234028453,0.593682918839033,-0.804699069142475
1195,-0.362727778371669,0.385528466190441,795,687,760,1394,1327,2019,0.811358502757422,-0.584548868789628,0.082863394068715,0.996560915309954,-0.970825851026716,-0.239785668834173
1196,-0.412872595740475,0.196969696969697,693,569,570,1197,872,1211,0.501503756751631,0.865155466932967,-1.0,-0.0,0.501503756751631,-0.865155466932967
1197,-0.404159855314522,0.212121212121213,693,692,569,793,934,1196,1.0,-0.0,-0.501503756751631,0.865155466932967,-0.501503756751631,-0.865155466932967
1198,-0.375174695152749,0.104780014901842,803,696,804,1512,1483,933,-0.435767213294805,0.900059406826727,-0.517697034360793,-0.855564013159763,0.999853927850681,-0.0170916050026084
1199,-0.360724603792975,0.19597808253485,935,800,801,1759,1455,1510,0.530209030115898,0.847866961488392,-0.997869111471041,-0.0652475008869649,0.539553833231657,-0.841951103713882
1200,-0.0131210245791291,-0.297122285474067,883,767,528,1173,1201,1456,0.828157859069987,-0.560494924562761,0.299029970511263,0.954243719778146,-0.97060701205478,-0.240669956891367
1201,-0.0074705467565793,-0.277548383638734,767,371,528,943,1000,1200,0.999769886737856,0.0214516566300902,-0.692723860019413,0.721202921347248,-0.299029970511263,-0.954243719778146
1202,-0.0101623124426418,0.277099033569383,766,507,351,1520,560,1203,-0.318467028159932,0.94793393861333,-0.647635313404974,-0.761950458252268,0.99980525097351,0.0197347441279772
1203,0.0074548160176834,0.277468966379054,766,351,508,1202,643,1472,-0.99980525097351,-0.0197347441279772,0.690555038870131,-0.723279847839736,0.288044302516391,0.957617084114442
1204,0.403894068673626,-0.303595997254484,738,737,620,1417,1206,1115,-0.999910087465029,-0.0134095855893621,0.521233459820309,-0.853414131804571,0.473762055248591,0.880652891329286
1205,0.221796405180392,-0.246967883790123,910,977,875,1842,1648,1180,0.620110480778353,-0.784514494212083,0.221435565755864,0.975175004918799,-0.993115954230887,-0.117135397946454
1206,0.412807804314027,-0.318492301572453,737,619,620,1207,894,1204,-0.475160902702847,-0.879898924049016,1.0,-0.0,-0.521233459820309,0.853414131804571
1207,0.404102212748197,-0.334326688279455,737,736,619,1352,991,1206,-0.999976410228906,-0.0068686960705729,0.550019078813806,-0.835152089706308,0.475160902702847,0.879898924049016
1208,-0.296450693020594,-0.01628453045419,878,496,764,1496,1209,1413,-0.281545188538545,-0.959547970041516,0.951895264506838,0.306423571889396,-0.623124625746546,0.782122561232079
1209,-0.278007949959541,-0.0099191405223708,764,496,340,1208,962,851,-0.951895264506838,-0.306423571889396,0.766786185238231,-0.641902598629886,-0.0294862055847428,0.999565187309069
1210,-0.412119288666948,0.166349971319841,694,570,571,1211,896,1229,0.498926349614558,0.866644389389496,-0.999213001965944,-0.0396658127637201,0.503173222831182,-0.86418557487711
1211,-0.403813559436035,0.18165340829568,694,693,570,1486,1196,1210,0.999431526810231,0.0337138431177972,-0.501503756751631,0.865155466932967,-0.498926349614558,-0.866644389389496
1212,-0.029864465527194,0.403889276689062,677,676,550,1508,1179,1178,0.0269540403855186,-0.999636673850502,0.857207884825443,0.514970525557619,-0.88216467432555,0.470941065710028
1213,-0.105015856061395,0.376286840912841,787,786,679,1432,1433,1024,0.0033951688080008,-0.999994236397773,0.86157811818641,0.507625005552686,-0.902158041854975,0.43140568785819
1214,-0.405030641993277,0.397704478322839,1087,562,563,1392,1033,1194,0.997284908506935,-0.0736397397083507,-0.621519277817583,0.783398868585544,-0.485998875369169,-0.873959434493331
1215,-0.377490320592674,0.410929564925576,760,561,562,1327,1103,1392,0.915493342760793,-0.402333119890307,-0.147783019181336,0.989019807305015,-0.682204339453375,-0.731161568486053
1216,-0.30319005738977,0.403740165075868,685,559,686,1256,1185,1217,0.878283399209165,0.478140429867203,-0.869822900469504,0.493364086470447,-0.0079197270792202,-0.999968638469723
1217,-0.303603006228775,0.385722874410954,793,685,686,1577,1216,1309,0.863385268610464,-0.504545218931304,0.0079197270792202,0.999968638469723,-0.892122818145798,-0.451792958492715
1218,-0.299254687257555,-0.0654214673365769,884,499,648,1186,879,1374,0.521351693782559,-0.85334190767245,0.358088880164674,0.933687503344888,-0.999124740412073,-0.0418300501614289
1219,-0.38598916217449,-0.0288976970693011,808,700,701,1334,1335,1426,0.428007705956815,0.903775084654133,-0.999601617948998,-0.0282241987263685,0.537580800716146,-0.843212240602203
1220,-0.288210007583758,-0.412592786254477,714,593,594,1221,999,1231,-0.885470973783643,0.464694689647566,0.0,-1.0,0.858073539624051,0.513526825586603
1221,-0.303668631834721,-0.4037839628055,714,713,593,1418,911,1220,-0.0182294100799793,0.999833830497916,-0.854382804882061,-0.519644130845199,0.885470973783643,-0.464694689647566
1222,-0.411333542543996,-0.377741103294976,763,588,589,1065,902,1410,0.382087338094676,0.924126217606515,-0.986164156809499,-0.165771697898675,0.728013839295008,-0.685562433185295
